Year;Y;K;K.price;L;L.price
1979;6544.901751;20965.12727;1094400000;104961;32628940.66
1980;6528.893271;21587.90178;1114600000;106974;31253021.47
1981;6698.282957;22189.24678;1139100000;108676;30663341.82
1982;6570.285963;22660.52353;1.13E+09;110244;30761621.76
1983;6874.651555;23196.27887;1111100000;111515;30859901.71
1984;7373.688815;23932.68896;1124400000;113532;30859901.71
1985;7686.239826;24738.75279;1106200000;115467;31449581.36
1986;7956.151151;25540.03534;1076800000;117846;32137540.95
1987;8231.57273;26322.56903;1083800000;119853;32334100.83
1988;8577.626568;27096.30048;1088500000;121671;32039261.01
1989;8893.327451;27884.39142;1.09E+09;123851;31646141.24
1990;9064.023849;28617.7603;1085500000;125857;30958181.65
1991;9057.308101;29204.51459;1078600000;126352;30761621.76
1992;9379.332011;29831.56285;1070100000;128099;30859901.71
1993;9636.874619;30512.53956;1058700000;129185;31154741.53
1994;10025.97706;31268.81741;1070800000;131047;30958181.65
1995;10298.58177;32077.44627;1065800000;132315;30859901.71
1996;10689.50308;32988.6785;1064400000;133951;30761621.76
1997;11169.14412;33993.05934;1063500000;136301;30859901.71
1998;11666.16109;35129.03491;1052600000;137680;31547861.3
1999;12212.74403;36371.31151;1056400000;139380;32334100.83
2000;12712.51106;37661.91815;1060300000;142586;32825500.54
2001;12836.58286;38825.79755;1050200000;143769;33022060.42
2002;13065.86062;39856.83986;1046100000;144856;33218620.31
2003;13432.59006;40947.62065;1040200000;146500;33120340.37
2004;13941.11337;42153.65755;1042700000;147380;33218620.31
2005;14407.47374;43462.73088;1042900000;149289;32727220.6
2006;14791.66715;44747.97231;1047900000;151409;32727220.6
2007;15054.74734;45896.60258;1046300000;153123;32923780.48
2008;15010.84447;46812.81596;1036700000;154322;32923780.48
2009;14594.21404;47269.6274;1032600000;154189;33906579.9
2010;14963.72796;47742.32285;1032100000;153885;33611740.08
2011;15203.36528;48282.06585;1027900000;153624;33022060.42
2012;15541.49281;48949.85291;1.02E+09;154974;32923780.48
2013;15802.17517;49609.41775;1023500000;155398;32727220.6
2014;16208.16364;50155.00802;1025400000;155916;32825500.54
